Value,Accuracy Score
max_depth=2,0.6045627376425855
max_depth=3,0.55893536121673004
max_depth=4,0.55893536121673004
max_depth=5,0.5564005069708492
max_depth=6,0.54435994930291509
max_depth=7,0.54309252217997461
max_depth=8,0.54309252217997461
max_depth=9,0.54435994930291509
max_depth=10,0.54309252217997461
max_depth=11,0.54499366286438533
max_depth=12,0.54309252217997461
max_depth=13,0.54309252217997461
max_depth=14,0.54372623574144485
max_depth=15,0.54435994930291509
max_depth=16,0.54309252217997461
max_depth=17,0.54435994930291509
max_depth=18,0.54499366286438533
max_depth=19,0.54499366286438533
max_depth=20,0.54435994930291509
max_depth=21,0.54309252217997461
max_depth=22,0.54499366286438533
max_depth=23,0.54309252217997461
max_depth=24,0.54309252217997461
