Value,Accuracy Score
min_samples_split=2,0.54309252217997461
min_samples_split=3,0.54309252217997461
min_samples_split=4,0.54499366286438533
min_samples_split=5,0.54309252217997461
min_samples_split=6,0.54435994930291509
min_samples_split=7,0.54309252217997461
min_samples_split=8,0.54309252217997461
min_samples_split=9,0.54309252217997461
min_samples_split=10,0.54309252217997461
min_samples_split=11,0.54372623574144485
min_samples_split=12,0.54309252217997461
min_samples_split=13,0.54372623574144485
min_samples_split=14,0.54499366286438533
min_samples_split=15,0.54435994930291509
min_samples_split=16,0.54499366286438533
min_samples_split=17,0.54499366286438533
min_samples_split=18,0.54309252217997461
min_samples_split=19,0.54309252217997461
min_samples_split=20,0.54309252217997461
min_samples_split=21,0.54435994930291509
min_samples_split=22,0.54372623574144485
min_samples_split=23,0.54309252217997461
min_samples_split=24,0.54309252217997461
